Date,Cube Type,Solve Number,Time (mm:ss),Session ID,Time (s),Session Averages
05/09/2020,3x3,1,19.09,1,19.09,20.71416667
05/09/2020,3x3,2,23.61,1,23.61,20.71416667
05/09/2020,3x3,3,17.71,1,17.71,20.71416667
05/09/2020,3x3,4,26.3,1,26.3,20.71416667
05/09/2020,3x3,5,16.98,1,16.98,20.71416667
05/09/2020,3x3,6,20.05,1,20.05,20.71416667
05/09/2020,3x3,7,18.15,1,18.15,20.71416667
05/09/2020,3x3,8,26.2,1,26.2,20.71416667
05/09/2020,3x3,9,23.17,1,23.17,20.71416667
05/09/2020,3x3,10,21.42,1,21.42,20.71416667
05/09/2020,3x3,11,19.23,1,19.23,20.71416667
05/09/2020,3x3,12,16.66,1,16.66,20.71416667
05/10/2020,3x3,1,19.89,2,19.89,20.17583333
05/10/2020,3x3,2,22.32,2,22.32,20.17583333
05/10/2020,3x3,3,19.4,2,19.4,20.17583333
05/10/2020,3x3,4,19.33,2,19.33,20.17583333
05/10/2020,3x3,5,14.95,2,14.95,20.17583333
05/10/2020,3x3,6,20.76,2,20.76,20.17583333
05/10/2020,3x3,7,25.86,2,25.86,20.17583333
05/10/2020,3x3,8,19.18,2,19.18,20.17583333
05/10/2020,3x3,9,18.8,2,18.8,20.17583333
05/10/2020,3x3,10,21.8,2,21.8,20.17583333
05/10/2020,3x3,11,19.91,2,19.91,20.17583333
05/10/2020,3x3,12,19.91,2,19.91,20.17583333
06/10/2020,3x3,1,19.04,3,19.04,20.08
06/10/2020,3x3,2,21.6,3,21.6,20.08
06/10/2020,3x3,3,21.29,3,21.29,20.08
06/10/2020,3x3,4,21.29,3,21.29,20.08
06/10/2020,3x3,5,17.46,3,17.46,20.08
06/10/2020,3x3,6,12.58,3,12.58,20.08
06/10/2020,3x3,7,23.33,3,23.33,20.08
06/10/2020,3x3,8,19.23,3,19.23,20.08
06/10/2020,3x3,9,19.71,3,19.71,20.08
06/10/2020,3x3,10,22.78,3,22.78,20.08
06/10/2020,3x3,11,21.05,3,21.05,20.08
06/10/2020,3x3,12,21.6,3,21.6,20.08
12/2/2020,3x3,1,19.3,4,19.3,23.91416667
12/2/2020,3x3,2,27.28,4,27.28,23.91416667
12/2/2020,3x3,3,20.29,4,20.29,23.91416667
12/2/2020,3x3,4,22.75,4,22.75,23.91416667
12/2/2020,3x3,5,26.01,4,26.01,23.91416667
12/2/2020,3x3,6,25.26,4,25.26,23.91416667
12/2/2020,3x3,7,25.48,4,25.48,23.91416667
12/2/2020,3x3,8,25,4,25,23.91416667
12/2/2020,3x3,9,23.48,4,23.48,23.91416667
12/2/2020,3x3,10,27.42,4,27.42,23.91416667
12/2/2020,3x3,11,22.06,4,22.06,23.91416667
12/2/2020,3x3,12,22.64,4,22.64,23.91416667
12/21/2020,3x3,1,21.36,5,21.36,19.67666667
12/21/2020,3x3,2,17.39,5,17.39,19.67666667
12/21/2020,3x3,3,17.86,5,17.86,19.67666667
12/21/2020,3x3,4,23.34,5,23.34,19.67666667
12/21/2020,3x3,5,18.67,5,18.67,19.67666667
12/21/2020,3x3,6,22.01,5,22.01,19.67666667
12/21/2020,3x3,7,17.98,5,17.98,19.67666667
12/21/2020,3x3,8,17.12,5,17.12,19.67666667
12/21/2020,3x3,9,22.18,5,22.18,19.67666667
12/21/2020,3x3,10,20.04,5,20.04,19.67666667
12/21/2020,3x3,11,15.11,5,15.11,19.67666667
12/21/2020,3x3,12,23.06,5,23.06,19.67666667
1/19/2021,3x3,1,14.44,6,14.44,15.5175
1/19/2021,3x3,2,15.14,6,15.14,15.5175
1/19/2021,3x3,3,18.32,6,18.32,15.5175
1/19/2021,3x3,4,11.97,6,11.97,15.5175
1/19/2021,3x3,5,14.69,6,14.69,15.5175
1/19/2021,3x3,6,15.44,6,15.44,15.5175
1/19/2021,3x3,7,15.76,6,15.76,15.5175
1/19/2021,3x3,8,15.9,6,15.9,15.5175
1/19/2021,3x3,9,15.37,6,15.37,15.5175
1/19/2021,3x3,10,15.01,6,15.01,15.5175
1/19/2021,3x3,11,16.18,6,16.18,15.5175
1/19/2021,3x3,12,17.99,6,17.99,15.5175
4/10/2021,3x3,1,13.32,7,13.32,15.23166667
4/10/2021,3x3,2,15.42,7,15.42,15.23166667
4/10/2021,3x3,3,16.77,7,16.77,15.23166667
4/10/2021,3x3,4,14.5,7,14.5,15.23166667
4/10/2021,3x3,5,14.56,7,14.56,15.23166667
4/10/2021,3x3,6,15.56,7,15.56,15.23166667
4/10/2021,3x3,7,15.47,7,15.47,15.23166667
4/10/2021,3x3,8,15.07,7,15.07,15.23166667
4/10/2021,3x3,9,16.56,7,16.56,15.23166667
4/10/2021,3x3,10,13.5,7,13.5,15.23166667
4/10/2021,3x3,11,16.74,7,16.74,15.23166667
4/10/2021,3x3,12,15.31,7,15.31,15.23166667
6/28/2021,3x3,1,13.1,8,13.1,15.29833333
6/28/2021,3x3,2,16.72,8,16.72,15.29833333
6/28/2021,3x3,3,14.53,8,14.53,15.29833333
6/28/2021,3x3,4,15.8,8,15.8,15.29833333
6/28/2021,3x3,5,17.75,8,17.75,15.29833333
6/28/2021,3x3,6,13.04,8,13.04,15.29833333
6/28/2021,3x3,7,12.77,8,12.77,15.29833333
6/28/2021,3x3,8,16.39,8,16.39,15.29833333
6/28/2021,3x3,9,17.13,8,17.13,15.29833333
6/28/2021,3x3,10,13.57,8,13.57,15.29833333
6/28/2021,3x3,11,14.53,8,14.53,15.29833333
6/28/2021,3x3,12,18.25,8,18.25,15.29833333
